kind	type	id	display_a	display_b	correct	notes
node	PreparationType	prep:gulika	gulika			
node	PreparationType	prep:kvātha	kvātha			
node	PreparationType	prep:ariṣṭa	ariṣṭa			
node	PreparationType	prep:bhasma	bhasma			
node	PreparationType	prep:taila	taila			
node	PreparationType	prep:kaṣāya	kaṣāya			
node	Route	route:nasya	nasya			
node	Route	route:oral	oral			
node	Route	route:basti	basti			
node	Route	route:abhyaṅga	abhyaṅga			
node	Route	route:anuvāsana	anuvāsana			
node	AnimalOrigin	animal:_si_ගිතෙල්	ගිතෙල්			
node	AnimalOrigin	animal:_si_එළුකිරි	එළුකිරි			
node	AnimalOrigin	animal:_si_එළුමස්	එළුමස්			
node	AnimalOrigin	vehicle:kṣīra	kṣīra			
node	AnimalOrigin	vehicle:ghṛta	ghṛta			
node	AnimalOrigin	animal:_si_තනකිරි	තනකිරි			
node	Plant	plant:_si_මහදද_කීරිය_මුල්	මහදද කීරිය මුල්			
node	Plant	plant:_si_දලුක්_මුල්	දලුක් මුල්			
node	Plant	plant:_si_වියලිමිදි	වියලිමිදි			
node	Plant	plant:_si_නෙල්ලි_උක්හකුරු	නෙල්ලි උක්හකුරු			
node	Plant	plant:_si_වැටක්_අරළු_යුෂ	වැටක් අරළු යුෂ			
node	Plant	plant:_si_යවකාරලුණු	යවකාරලුණු			
node	Disease	disease:kāsa	kāsa	Cough disorder (TM2)		
node	Disease	disease:aśmarī	aśmarī	Urinary stone disorder (TM2)		
node	Disease	disease:yakṣma	yakṣma	Consumptive disorder (TM2)		
node	Disease	disease:kukṣiśūla	kukṣiśūla	Renal colic disorder (TM2)		
node	Disease	disease:pratiśyā	pratiśyā	Rhinitis disorder (TM2)		
node	Disease	disease:pravāhikā	pravāhikā	Dysentery disorder (TM2)		
node	Formulation	formula:yogamalawa/207				
node	Formulation	formula:yogamalawa/93				
node	Formulation	formula:yogamalawa/178				
node	Formulation	formula:301-to-350/45				
node	Formulation	formula:401-to-450/88				
node	Formulation	formula:201-to-250/94				
node	Mineral	min:kāntalauha	kāntalauha	kānta—lauha n. cast-iron (cf. loha-kānta), L.		
node	Mineral	min:_si_බළල්_ලුණු	බළල් ලුණු			
node	Mineral	min:abhra+bhasma	abhra+bhasma	abhra=abhra/ n. (sometimes spelt abbhra, according to the derivati | bhasma=bhas		
node	Mineral	min:_si_තඹ	තඹ			
node	Mineral	min:gandhaka	gandhaka	gandhaka mf(ikā)n. ifc. ‘having the smell of, scenting’, see aja-, avi-		
node	Mineral	min:tāmra+bhasma	tāmra+bhasma	tāmra=tāmra/ mf(ā)n. (√ tam, Uṇ.) of a coppery red colour, VS. xvi | bhasma=bhas		
node	PharmacologicalProperty	prop:karma:අර්ගෝස්න	අර්ගෝස්න			
node	PharmacologicalProperty	prop:karma:කුෂ්ඨස්න	කුෂ්ඨස්න			
node	PharmacologicalProperty	prop:karma:වයඃස්ථාපන	වයඃස්ථාපන			
node	PharmacologicalProperty	prop:karma:ලේඛනීය	ලේඛනීය			
node	PharmacologicalProperty	prop:karma:ශ්රමහර	ශ්‍රමහර			
node	PharmacologicalProperty	prop:karma:උදර්ද_ප්රශමන	උදර්ද ප්‍රශමන			
edge	CONTAINS		formula:251-to-300/12	plant:_si_උණකපුරු		
edge	CONTAINS		formula:351-to-400/25	plant:_si_තලතෙල්		
edge	CONTAINS		formula:151-to-200/81	plant:_si_ඉඟුරු		
edge	CONTAINS		formula:201-to-250/128	plant:_si_කටුවැල්බටු		
edge	CONTAINS		formula:201-to-250/186	plant:madhuyaṣṭī		
edge	CONTAINS		formula:201-to-250/29	plant:hapuṣā		
edge	CONTAINS		formula:151-to-200/29	plant:madhuyaṣṭī		
edge	DOSED_WITH		formula:151-to-200/11	vehicle:madhu		
edge	DOSED_WITH		formula:301-to-350/56	vehicle:madhu		
edge	DOSED_WITH		formula:401-to-450/20	vehicle:kṣīra		
edge	DOSED_WITH		formula:251-to-300/16	vehicle:kṣīra		
edge	DOSED_WITH		formula:301-to-350/44	vehicle:kṣīra		
edge	DOSED_WITH		formula:201-to-250/40	vehicle:ghṛta		
